,Rank,Youtube Channel,Subscribers,Video Views,Video Count,Category,Started
0,1,T-Series,234000000,212900271553,18515,Music,2006-01-01
2,3,Cocomelon - Nursery Rhymes,152000000,149084178448,846,Education,2006-01-01
3,4,SET India,150000000,137828094104,103200,Shows,2006-01-01
4,5,MrBeast,128000000,21549128785,733,Entertainment,2012-01-01
6,7,PewDiePie,111000000,28851883250,4694,Gaming,2010-01-01
7,8,✿ Kids Diana Show,106000000,86638570921,1056,People & Blogs,2015-01-01
8,9,Like Nastya,104000000,87202935675,754,People & Blogs,2016-01-01
10,11,WWE,92800000,73577695222,66174,Sports,2007-01-01
11,12,Vlad and Niki,92700000,72444118381,520,Entertainment,2018-01-01
12,13,Zee Music Company,91600000,53352597784,7530,Music,2014-01-01
13,14,BLACKPINK,83900000,28723286185,468,People & Blogs,2016-01-01
14,15,Goldmines,81200000,21296568609,5090,Film & Animation,2012-01-01
15,16,5-Minute Crafts,78500000,24983430208,5937,Howto & Style,2016-01-01
16,17,Sony SAB,76400000,91117292875,63390,Shows,2007-01-01
18,19,BANGTANTV,73100000,19240057894,2090,Music,2012-01-01
19,20,Justin Bieber,70800000,29598652357,249,Music,2007-01-01
20,21,HYBE LABELS,69600000,25947702825,1070,Music,2008-01-01
21,22,Canal KondZilla,66300000,37179407050,2383,Music,2012-01-01
22,23,Zee TV,65400000,31291572708,80178,Entertainment,2005-01-01
23,24,Pinkfong Baby Shark - Kids' Songs & Stories,64600000,35934421688,2599,Education,2011-01-01
24,25,Shemaroo Filmi Gaane,63500000,29992048346,8464,Music,2010-01-01
25,26,ChuChu TV Nursery Rhymes & Kids Songs,61100000,41904239949,531,Education,2013-01-01
26,27,Colors TV,59300000,57825649653,102403,Shows,2008-01-01
27,28,Dude Perfect,58600000,15294226020,364,Sports,2009-01-01
28,29,Movieclips,58500000,59493925856,39921,Film & Animation,2006-01-01
29,30,T-Series Bhakti Sagar,57300000,27004807684,24900,Music,2011-01-01
30,31,Tips Official,56300000,30741513673,4102,Music,2007-01-01
31,32,Marshmello,56100000,14014958483,405,Entertainment,2015-01-01
32,33,Wave Music,55700000,38819471815,18970,Music,2014-01-01
33,34,Sony Music India,55400000,27179277627,3380,Music,2009-01-01
34,35,Aaj Tak,55300000,22725789132,233730,News & Politics,2009-01-01
35,36,EminemMusic,55000000,25334375101,140,Music,2007-01-01
36,37,El Reino Infantil,55000000,53458257145,1410,Music,2011-01-01
37,38,Ed Sheeran,52800000,29004663326,258,Music,2006-01-01
38,39,LooLoo Kids - Nursery Rhymes and Children's Songs,52300000,30857986532,607,Music,2014-01-01
39,40,Ariana Grande,52200000,23058776245,146,Music,2007-01-01
40,41,YRF,51000000,32068851747,3475,Film & Animation,2006-01-01
41,42,Taylor Swift,50700000,27714189976,204,Music,2006-01-01
42,43,BillionSurpriseToys - English Kids Songs & Cartoon,49700000,8662901485,637,Education,2013-01-01
43,44,Infobells - Hindi,48400000,27621598218,514,Education,2014-01-01
44,45,Billie Eilish,47300000,12810775364,51,Music,2013-01-01
45,46,JuegaGerman,47000000,14143277535,2017,Gaming,2013-01-01
46,47,Badabun,46300000,19053487396,16726,Entertainment,2014-01-01
47,48,Fernanfloo,45600000,10146422791,542,Gaming,2011-01-01
48,49,Bad Bunny,45100000,28114460507,127,Music,2014-01-01
49,50,Felipe Neto,44800000,16043230315,3977,Entertainment,2006-01-01
50,51,SonyMusicIndiaVEVO,44800000,25915043211,3366,Music,2009-01-01
51,52,BRIGHT SIDE,44300000,10430931571,5173,Howto & Style,2017-01-01
52,53,Get Movies,44200000,29251998725,3160,Entertainment,2006-01-01
53,54,Você Sabia?,44100000,7597909400,1444,Entertainment,2013-01-01
54,55,whinderssonnunes,44000000,4179250874,524,Comedy,2013-01-01
55,56,Shemaroo,44000000,22419193201,10697,Entertainment,2007-01-01
56,57,A4,43900000,19946220349,709,Gaming,2014-01-01
57,58,Katy Perry,43800000,24676643547,120,Music,2008-01-01
58,59,HolaSoyGerman.,43400000,4782790153,136,Entertainment,2011-01-01
59,60,Alan Walker,42800000,12266013874,364,Music,2012-01-01
60,61,Voot Kids,42300000,19620244169,3923,Entertainment,2016-01-01
61,62,Like Nastya Show,42100000,19124111758,606,Entertainment,2017-01-01
62,63,ABS-CBN Entertainment,42100000,48815821642,185775,People & Blogs,2008-01-01
63,64,Speed Records,41800000,25752372644,10608,Music,2012-01-01
64,65,Rihanna,40900000,21169959746,82,Entertainment,2005-01-01
65,66,Маша и Медведь,40900000,34577807066,1281,Film & Animation,2011-01-01
66,67,Little Baby Bum - Nursery Rhymes & Kids Songs,40600000,38573516896,2245,Education,2011-01-01
67,68,elrubiusOMG,40400000,7581423100,711,Gaming,2011-01-01
68,69,Shakira,40100000,25428049775,307,People & Blogs,2005-01-01
69,70,Luisito Comunica,39800000,8160328364,1194,Comedy,2012-01-01
70,71,Ishtar Music,39500000,16198667693,4582,Trailers,2005-01-01
71,72,Kimberly Loaiza,39500000,4939734902,250,People & Blogs,2016-01-01
72,73,LUCCAS NETO - LUCCAS TOON,38700000,21415852275,1985,People & Blogs,2014-01-01
73,74,ARY Digital HD,38600000,32383019054,88409,Entertainment,2016-01-01
74,75,Masha and The Bear,38500000,21850302761,1035,Shows,2014-01-01
75,76,XXXTENTACION,38400000,10134205288,129,Music,2015-01-01
76,77,GR6 EXPLODE,38400000,24701070352,4134,Music,2014-01-01
77,78,Toys and Colors,38400000,44190624959,905,Entertainment,2016-01-01
78,79,TheEllenShow,38300000,22535632362,14993,Entertainment,2006-01-01
79,80,WorkpointOfficial,38100000,36234268240,69696,Entertainment,2012-01-01
80,81,One Direction,37800000,13125170526,157,Music,2010-01-01
81,82,CarryMinati,37600000,3110725449,180,Comedy,2014-01-01
82,83,Daddy Yankee,37500000,21667615457,471,Music,2011-01-01
83,84,shfa2 - شفا,37400000,22249785330,1468,People & Blogs,2017-01-01
84,85,Super Simple Songs - Kids Songs,37400000,40905820903,647,Education,2006-01-01
85,86,TEDx Talks,37300000,7025367828,191506,Nonprofits & Activism,2009-01-01
86,87,shfa,37000000,20196597873,920,People & Blogs,2015-01-01
87,88,Jkk Entertainment,36700000,15892449076,207,Comedy,2017-01-01
88,89,HAR PAL GEO,36700000,32307389493,80499,Entertainment,2008-01-01
89,90,Mikecrack,36600000,14997302673,1811,Gaming,2015-01-01
90,91,Maroon 5,36400000,21651521761,163,Music,2006-01-01
92,93,Goldmines Gaane Sune Ansune,36300000,15500577270,3406,Music,2015-01-01
93,94,Bruno Mars,36100000,18369812498,99,Music,2006-01-01
94,95,ช่อง one31,36000000,26380324996,104458,Entertainment,2013-01-01
95,96,Like Nastya ESP,35900000,17250777103,691,Entertainment,2017-01-01
96,97,Ozuna,35800000,22255148830,162,Music,2016-01-01
97,98,Maria Clara & JP,35500000,22536784457,693,People & Blogs,2015-01-01
98,99,Sony PAL,35300000,25906208404,21627,Shows,2014-01-01
99,100,YouTube,35200000,2980922779,620,News & Politics,1970-01-01
100,101,Ultra Bollywood,35200000,16071519784,9424,Trailers,2009-01-01
101,102,ABP NEWS,35100000,11605665353,253628,People & Blogs,2012-01-01
102,103,Total Gaming,34300000,5297672072,1137,Gaming,2018-01-01
103,104,Markiplier,34300000,19491886710,5392,Gaming,2012-01-01
104,105,Ryan's World,34200000,53646314889,2294,Entertainment,2015-01-01
105,106,J Balvin,33900000,22257560882,134,Music,2011-01-01
